Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;14 Murcia, Región de;Total;1998;1.115.068
Total;14 Murcia, Región de;Total;1997;""
Total;14 Murcia, Región de;Total;1996;1.097.249
Total;14 Murcia, Región de;Hombres;2021;760.362
Total;14 Murcia, Región de;Hombres;2020;756.699
Total;14 Murcia, Región de;Hombres;2019;747.615
Total;14 Murcia, Región de;Hombres;2018;740.143
Total;14 Murcia, Región de;Hombres;2017;736.238
Total;14 Murcia, Región de;Hombres;2016;733.555
Total;14 Murcia, Región de;Hombres;2015;735.434
Total;14 Murcia, Región de;Hombres;2014;735.889
Total;14 Murcia, Región de;Hombres;2013;739.842
Total;14 Murcia, Región de;Hombres;2012;742.727
Total;14 Murcia, Región de;Hombres;2011;741.581
Total;14 Murcia, Región de;Hombres;2010;738.627
Total;14 Murcia, Región de;Hombres;2009;731.609
Total;14 Murcia, Región de;Hombres;2008;722.999
Total;14 Murcia, Región de;Hombres;2007;706.326
Total;14 Murcia, Región de;Hombres;2006;697.027
Total;14 Murcia, Región de;Hombres;2005;677.049
Total;14 Murcia, Región de;Hombres;2004;652.057
Total;14 Murcia, Región de;Hombres;2003;639.795
Total;14 Murcia, Región de;Hombres;2002;616.236
Total;14 Murcia, Región de;Hombres;2001;595.757
Total;14 Murcia, Región de;Hombres;2000;570.125
Total;14 Murcia, Región de;Hombres;1999;559.888
Total;14 Murcia, Región de;Hombres;1998;551.343
Total;14 Murcia, Región de;Hombres;1997;""
Total;14 Murcia, Región de;Hombres;1996;541.069
Total;14 Murcia, Región de;Mujeres;2021;758.124
Total;14 Murcia, Región de;Mujeres;2020;754.552
Total;14 Murcia, Región de;Mujeres;2019;746.283
Total;14 Murcia, Región de;Mujeres;2018;738.366
Total;14 Murcia, Región de;Mujeres;2017;734.035
Total;14 Murcia, Región de;Mujeres;2016;731.292
Total;14 Murcia, Región de;Mujeres;2015;731.854
Total;14 Murcia, Región de;Mujeres;2014;730.929
Total;14 Murcia, Región de;Mujeres;2013;732.207
Total;14 Murcia, Región de;Mujeres;2012;731.722
Total;14 Murcia, Región de;Mujeres;2011;728.488
Total;14 Murcia, Región de;Mujeres;2010;723.352
Total;14 Murcia, Región de;Mujeres;2009;714.911
Total;14 Murcia, Región de;Mujeres;2008;703.110
Total;14 Murcia, Región de;Mujeres;2007;685.791
Total;14 Murcia, Región de;Mujeres;2006;673.279
Total;14 Murcia, Región de;Mujeres;2005;658.743
Total;14 Murcia, Región de;Mujeres;2004;642.637
Total;14 Murcia, Región de;Mujeres;2003;629.435
Total;14 Murcia, Región de;Mujeres;2002;610.757
Total;14 Murcia, Región de;Mujeres;2001;594.621
Total;14 Murcia, Región de;Mujeres;2000;579.203
Total;14 Murcia, Región de;Mujeres;1999;571.240
Total;14 Murcia, Región de;Mujeres;1998;563.725
Total;14 Murcia, Región de;Mujeres;1997;""
Total;14 Murcia, Región de;Mujeres;1996;556.180
Total;15 Navarra, Comunidad Foral de;Total;2021;661.537
Total;15 Navarra, Comunidad Foral de;Total;2020;661.197
Total;15 Navarra, Comunidad Foral de;Total;2019;654.214
Total;15 Navarra, Comunidad Foral de;Total;2018;647.554
Total;15 Navarra, Comunidad Foral de;Total;2017;643.234
Total;15 Navarra, Comunidad Foral de;Total;2016;640.647
Total;15 Navarra, Comunidad Foral de;Total;2015;640.476
Total;15 Navarra, Comunidad Foral de;Total;2014;640.790
Total;15 Navarra, Comunidad Foral de;Total;2013;644.477
Total;15 Navarra, Comunidad Foral de;Total;2012;644.566
Total;15 Navarra, Comunidad Foral de;Total;2011;642.051
Total;15 Navarra, Comunidad Foral de;Total;2010;636.924
Total;15 Navarra, Comunidad Foral de;Total;2009;630.578
Total;15 Navarra, Comunidad Foral de;Total;2008;620.377
Total;15 Navarra, Comunidad Foral de;Total;2007;605.876
Total;15 Navarra, Comunidad Foral de;Total;2006;601.874
Total;15 Navarra, Comunidad Foral de;Total;2005;593.472
Total;15 Navarra, Comunidad Foral de;Total;2004;584.734
Total;15 Navarra, Comunidad Foral de;Total;2003;578.210
Total;15 Navarra, Comunidad Foral de;Total;2002;569.628
Total;15 Navarra, Comunidad Foral de;Total;2001;556.263
Total;15 Navarra, Comunidad Foral de;Total;2000;543.757
Total;15 Navarra, Comunidad Foral de;Total;1999;538.009
Total;15 Navarra, Comunidad Foral de;Total;1998;530.819
Total;15 Navarra, Comunidad Foral de;Total;1997;""
Total;15 Navarra, Comunidad Foral de;Total;1996;520.574
Total;15 Navarra, Comunidad Foral de;Hombres;2021;327.465
Total;15 Navarra, Comunidad Foral de;Hombres;2020;327.226
Total;15 Navarra, Comunidad Foral de;Hombres;2019;323.631
Total;15 Navarra, Comunidad Foral de;Hombres;2018;320.469
Total;15 Navarra, Comunidad Foral de;Hombres;2017;318.671
Total;15 Navarra, Comunidad Foral de;Hombres;2016;317.840
Total;15 Navarra, Comunidad Foral de;Hombres;2015;317.885
Total;15 Navarra, Comunidad Foral de;Hombres;2014;318.486
Total;15 Navarra, Comunidad Foral de;Hombres;2013;320.933
Total;15 Navarra, Comunidad Foral de;Hombres;2012;321.453
Total;15 Navarra, Comunidad Foral de;Hombres;2011;320.656
Total;15 Navarra, Comunidad Foral de;Hombres;2010;318.423
Total;15 Navarra, Comunidad Foral de;Hombres;2009;315.486
Total;15 Navarra, Comunidad Foral de;Hombres;2008;310.282
Total;15 Navarra, Comunidad Foral de;Hombres;2007;302.330
Total;15 Navarra, Comunidad Foral de;Hombres;2006;300.917
Total;15 Navarra, Comunidad Foral de;Hombres;2005;296.587
Total;15 Navarra, Comunidad Foral de;Hombres;2004;292.059
Total;15 Navarra, Comunidad Foral de;Hombres;2003;288.991
Total;15 Navarra, Comunidad Foral de;Hombres;2002;284.620
Total;15 Navarra, Comunidad Foral de;Hombres;2001;277.118
Total;15 Navarra, Comunidad Foral de;Hombres;2000;269.826
Total;15 Navarra, Comunidad Foral de;Hombres;1999;266.711
Total;15 Navarra, Comunidad Foral de;Hombres;1998;262.687
Total;15 Navarra, Comunidad Foral de;Hombres;1997;""
Total;15 Navarra, Comunidad Foral de;Hombres;1996;257.718
Total;15 Navarra, Comunidad Foral de;Mujeres;2021;334.072
Total;15 Navarra, Comunidad Foral de;Mujeres;2020;333.971
Total;15 Navarra, Comunidad Foral de;Mujeres;2019;330.583
Total;15 Navarra, Comunidad Foral de;Mujeres;2018;327.085
Total;15 Navarra, Comunidad Foral de;Mujeres;2017;324.563
Total;15 Navarra, Comunidad Foral de;Mujeres;2016;322.807
Total;15 Navarra, Comunidad Foral de;Mujeres;2015;322.591
Total;15 Navarra, Comunidad Foral de;Mujeres;2014;322.304
Total;15 Navarra, Comunidad Foral de;Mujeres;2013;323.544
Total;15 Navarra, Comunidad Foral de;Mujeres;2012;323.113
Total;15 Navarra, Comunidad Foral de;Mujeres;2011;321.395
Total;15 Navarra, Comunidad Foral de;Mujeres;2010;318.501
Total;15 Navarra, Comunidad Foral de;Mujeres;2009;315.092
Total;15 Navarra, Comunidad Foral de;Mujeres;2008;310.095
Total;15 Navarra, Comunidad Foral de;Mujeres;2007;303.546
Total;15 Navarra, Comunidad Foral de;Mujeres;2006;300.957
Total;15 Navarra, Comunidad Foral de;Mujeres;2005;296.885
Total;15 Navarra, Comunidad Foral de;Mujeres;2004;292.675
Total;15 Navarra, Comunidad Foral de;Mujeres;2003;289.219
Total;15 Navarra, Comunidad Foral de;Mujeres;2002;285.008
Total;15 Navarra, Comunidad Foral de;Mujeres;2001;279.145
Total;15 Navarra, Comunidad Foral de;Mujeres;2000;273.931
Total;15 Navarra, Comunidad Foral de;Mujeres;1999;271.298
Total;15 Navarra, Comunidad Foral de;Mujeres;1998;268.132
Total;15 Navarra, Comunidad Foral de;Mujeres;1997;""
Total;15 Navarra, Comunidad Foral de;Mujeres;1996;262.856
Total;16 País Vasco;Total;2021;2.213.993
Total;16 País Vasco;Total;2020;2.220.504
Total;16 País Vasco;Total;2019;2.207.776
Total;16 País Vasco;Total;2018;2.199.088
Total;16 País Vasco;Total;2017;2.194.158
Total;16 País Vasco;Total;2016;2.189.534
Total;16 País Vasco;Total;2015;2.189.257
Total;16 País Vasco;Total;2014;2.188.985
Total;16 País Vasco;Total;2013;2.191.682
Total;16 País Vasco;Total;2012;2.193.093
Total;16 País Vasco;Total;2011;2.184.606
Total;16 País Vasco;Total;2010;2.178.339
Total;16 País Vasco;Total;2009;2.172.175
Total;16 País Vasco;Total;2008;2.157.112
Total;16 País Vasco;Total;2007;2.141.860
Total;16 País Vasco;Total;2006;2.133.684
Total;16 País Vasco;Total;2005;2.124.846
Total;16 País Vasco;Total;2004;2.115.279
Total;16 País Vasco;Total;2003;2.112.204
Total;16 País Vasco;Total;2002;2.108.281
Total;16 País Vasco;Total;2001;2.101.478
Total;16 País Vasco;Total;2000;2.098.596
Total;16 País Vasco;Total;1999;2.100.441
Total;16 País Vasco;Total;1998;2.098.628
Total;16 País Vasco;Total;1997;""
Total;16 País Vasco;Total;1996;2.098.055
Total;16 País Vasco;Hombres;2021;1.076.385
Total;16 País Vasco;Hombres;2020;1.079.452
Total;16 País Vasco;Hombres;2019;1.073.074
Total;16 País Vasco;Hombres;2018;1.068.750
Total;16 País Vasco;Hombres;2017;1.066.905
Total;16 País Vasco;Hombres;2016;1.065.580
Total;16 País Vasco;Hombres;2015;1.065.925
Total;16 País Vasco;Hombres;2014;1.066.369
Total;16 País Vasco;Hombres;2013;1.068.746
Total;16 País Vasco;Hombres;2012;1.070.438
Total;16 País Vasco;Hombres;2011;1.066.872
Total;16 País Vasco;Hombres;2010;1.064.708
Total;16 País Vasco;Hombres;2009;1.062.412
Total;16 País Vasco;Hombres;2008;1.055.150
Total;16 País Vasco;Hombres;2007;1.046.795
Total;16 País Vasco;Hombres;2006;1.043.849
Total;16 País Vasco;Hombres;2005;1.040.525
Total;16 País Vasco;Hombres;2004;1.035.863
Total;16 País Vasco;Hombres;2003;1.034.326
Total;16 País Vasco;Hombres;2002;1.032.209
Total;16 País Vasco;Hombres;2001;1.028.392
Total;16 País Vasco;Hombres;2000;1.026.651
Total;16 País Vasco;Hombres;1999;1.028.146
Total;16 País Vasco;Hombres;1998;1.026.915
Total;16 País Vasco;Hombres;1997;""
Total;16 País Vasco;Hombres;1996;1.027.114
Total;16 País Vasco;Mujeres;2021;1.137.608
Total;16 País Vasco;Mujeres;2020;1.141.052
Total;16 País Vasco;Mujeres;2019;1.134.702
Total;16 País Vasco;Mujeres;2018;1.130.338
Total;16 País Vasco;Mujeres;2017;1.127.253
Total;16 País Vasco;Mujeres;2016;1.123.954
Total;16 País Vasco;Mujeres;2015;1.123.332
Total;16 País Vasco;Mujeres;2014;1.122.616
Total;16 País Vasco;Mujeres;2013;1.122.936
Total;16 País Vasco;Mujeres;2012;1.122.655
Total;16 País Vasco;Mujeres;2011;1.117.734
Total;16 País Vasco;Mujeres;2010;1.113.631
Total;16 País Vasco;Mujeres;2009;1.109.763
Total;16 País Vasco;Mujeres;2008;1.101.962
Total;16 País Vasco;Mujeres;2007;1.095.065
Total;16 País Vasco;Mujeres;2006;1.089.835
Total;16 País Vasco;Mujeres;2005;1.084.321
Total;16 País Vasco;Mujeres;2004;1.079.416
Total;16 País Vasco;Mujeres;2003;1.077.878
Total;16 País Vasco;Mujeres;2002;1.076.072
Total;16 País Vasco;Mujeres;2001;1.073.086
Total;16 País Vasco;Mujeres;2000;1.071.945
Total;16 País Vasco;Mujeres;1999;1.072.295
Total;16 País Vasco;Mujeres;1998;1.071.713
Total;16 País Vasco;Mujeres;1997;""
Total;16 País Vasco;Mujeres;1996;1.070.941
Total;17 Rioja, La;Total;2021;319.796
Total;17 Rioja, La;Total;2020;319.914
Total;17 Rioja, La;Total;2019;316.798
Total;17 Rioja, La;Total;2018;315.675
Total;17 Rioja, La;Total;2017;315.381
Total;17 Rioja, La;Total;2016;315.794
Total;17 Rioja, La;Total;2015;317.053
Total;17 Rioja, La;Total;2014;319.002
Total;17 Rioja, La;Total;2013;322.027
Total;17 Rioja, La;Total;2012;323.609
Total;17 Rioja, La;Total;2011;322.955
Total;17 Rioja, La;Total;2010;322.415
Total;17 Rioja, La;Total;2009;321.702
Total;17 Rioja, La;Total;2008;317.501
Total;17 Rioja, La;Total;2007;308.968
Total;17 Rioja, La;Total;2006;306.377
Total;17 Rioja, La;Total;2005;301.084
Total;17 Rioja, La;Total;2004;293.553
Total;17 Rioja, La;Total;2003;287.390
Total;17 Rioja, La;Total;2002;281.614
Total;17 Rioja, La;Total;2001;270.400
Total;17 Rioja, La;Total;2000;264.178
Total;17 Rioja, La;Total;1999;265.178
Total;17 Rioja, La;Total;1998;263.644
Total;17 Rioja, La;Total;1997;""
Total;17 Rioja, La;Total;1996;264.941
Total;17 Rioja, La;Hombres;2021;157.823
Total;17 Rioja, La;Hombres;2020;157.835
Total;17 Rioja, La;Hombres;2019;156.179
Total;17 Rioja, La;Hombres;2018;155.758
Total;17 Rioja, La;Hombres;2017;155.508
Total;17 Rioja, La;Hombres;2016;155.969
Total;17 Rioja, La;Hombres;2015;156.733
Total;17 Rioja, La;Hombres;2014;158.090
Total;17 Rioja, La;Hombres;2013;160.159
Total;17 Rioja, La;Hombres;2012;161.574
Total;17 Rioja, La;Hombres;2011;161.582
Total;17 Rioja, La;Hombres;2010;161.884
Total;17 Rioja, La;Hombres;2009;162.173
Total;17 Rioja, La;Hombres;2008;160.342
Total;17 Rioja, La;Hombres;2007;155.773
Total;17 Rioja, La;Hombres;2006;154.556
Total;17 Rioja, La;Hombres;2005;151.730
Total;17 Rioja, La;Hombres;2004;147.214
Total;17 Rioja, La;Hombres;2003;143.995
Total;17 Rioja, La;Hombres;2002;140.780
Total;17 Rioja, La;Hombres;2001;134.506
Total;17 Rioja, La;Hombres;2000;130.956
Total;17 Rioja, La;Hombres;1999;131.518
Total;17 Rioja, La;Hombres;1998;130.708
Total;17 Rioja, La;Hombres;1997;""
Total;17 Rioja, La;Hombres;1996;131.183
Total;17 Rioja, La;Mujeres;2021;161.973
Total;17 Rioja, La;Mujeres;2020;162.079
Total;17 Rioja, La;Mujeres;2019;160.619
Total;17 Rioja, La;Mujeres;2018;159.917
Total;17 Rioja, La;Mujeres;2017;159.873
Total;17 Rioja, La;Mujeres;2016;159.825
Total;17 Rioja, La;Mujeres;2015;160.320
Total;17 Rioja, La;Mujeres;2014;160.912
Total;17 Rioja, La;Mujeres;2013;161.868
Total;17 Rioja, La;Mujeres;2012;162.035
Total;17 Rioja, La;Mujeres;2011;161.373
Total;17 Rioja, La;Mujeres;2010;160.531
Total;17 Rioja, La;Mujeres;2009;159.529
Total;17 Rioja, La;Mujeres;2008;157.159
Total;17 Rioja, La;Mujeres;2007;153.195
Total;17 Rioja, La;Mujeres;2006;151.821
Total;17 Rioja, La;Mujeres;2005;149.354
Total;17 Rioja, La;Mujeres;2004;146.339
Total;17 Rioja, La;Mujeres;2003;143.395
Total;17 Rioja, La;Mujeres;2002;140.834
Total;17 Rioja, La;Mujeres;2001;135.894
Total;17 Rioja, La;Mujeres;2000;133.222
Total;17 Rioja, La;Mujeres;1999;133.660
Total;17 Rioja, La;Mujeres;1998;132.936
Total;17 Rioja, La;Mujeres;1997;""
Total;17 Rioja, La;Mujeres;1996;133.758
Total;18 Ceuta;Total;2021;83.517
Total;18 Ceuta;Total;2020;84.202
Total;18 Ceuta;Total;2019;84.777
Total;18 Ceuta;Total;2018;85.144
Total;18 Ceuta;Total;2017;84.959
Total;18 Ceuta;Total;2016;84.519
Total;18 Ceuta;Total;2015;84.263
Total;18 Ceuta;Total;2014;84.963
Total;18 Ceuta;Total;2013;84.180
Total;18 Ceuta;Total;2012;84.018
Total;18 Ceuta;Total;2011;82.376
Total;18 Ceuta;Total;2010;80.579
Total;18 Ceuta;Total;2009;78.674
Total;18 Ceuta;Total;2008;77.389
Total;18 Ceuta;Total;2007;76.603
Total;18 Ceuta;Total;2006;75.861
Total;18 Ceuta;Total;2005;75.276
Total;18 Ceuta;Total;2004;74.654
Total;18 Ceuta;Total;2003;74.931
Total;18 Ceuta;Total;2002;76.152
Total;18 Ceuta;Total;2001;75.694
Total;18 Ceuta;Total;2000;75.241
Total;18 Ceuta;Total;1999;73.704
Total;18 Ceuta;Total;1998;72.117
Total;18 Ceuta;Total;1997;""
Total;18 Ceuta;Total;1996;68.796
Total;18 Ceuta;Hombres;2021;42.208
Total;18 Ceuta;Hombres;2020;42.542
Total;18 Ceuta;Hombres;2019;42.912
Total;18 Ceuta;Hombres;2018;43.177
Total;18 Ceuta;Hombres;2017;43.034
Total;18 Ceuta;Hombres;2016;42.846
Total;18 Ceuta;Hombres;2015;42.757
Total;18 Ceuta;Hombres;2014;43.354
Total;18 Ceuta;Hombres;2013;43.060
Total;18 Ceuta;Hombres;2012;42.948
Total;18 Ceuta;Hombres;2011;42.165
Total;18 Ceuta;Hombres;2010;41.269
Total;18 Ceuta;Hombres;2009;40.118
Total;18 Ceuta;Hombres;2008;39.385
Total;18 Ceuta;Hombres;2007;38.913
Total;18 Ceuta;Hombres;2006;38.581
Total;18 Ceuta;Hombres;2005;38.315
Total;18 Ceuta;Hombres;2004;38.113
Total;18 Ceuta;Hombres;2003;38.395
Total;18 Ceuta;Hombres;2002;39.195
Total;18 Ceuta;Hombres;2001;38.884
Total;18 Ceuta;Hombres;2000;38.497
Total;18 Ceuta;Hombres;1999;37.115
Total;18 Ceuta;Hombres;1998;36.102
Total;18 Ceuta;Hombres;1997;""
Total;18 Ceuta;Hombres;1996;34.229
Total;18 Ceuta;Mujeres;2021;41.309
Total;18 Ceuta;Mujeres;2020;41.660
Total;18 Ceuta;Mujeres;2019;41.865
Total;18 Ceuta;Mujeres;2018;41.967
Total;18 Ceuta;Mujeres;2017;41.925
Total;18 Ceuta;Mujeres;2016;41.673
Total;18 Ceuta;Mujeres;2015;41.506
Total;18 Ceuta;Mujeres;2014;41.609
Total;18 Ceuta;Mujeres;2013;41.120
Total;18 Ceuta;Mujeres;2012;41.070
Total;18 Ceuta;Mujeres;2011;40.211
Total;18 Ceuta;Mujeres;2010;39.310
Total;18 Ceuta;Mujeres;2009;38.556
Total;18 Ceuta;Mujeres;2008;38.004
Total;18 Ceuta;Mujeres;2007;37.690
Total;18 Ceuta;Mujeres;2006;37.280
Total;18 Ceuta;Mujeres;2005;36.961
Total;18 Ceuta;Mujeres;2004;36.541
Total;18 Ceuta;Mujeres;2003;36.536
Total;18 Ceuta;Mujeres;2002;36.957
Total;18 Ceuta;Mujeres;2001;36.810
Total;18 Ceuta;Mujeres;2000;36.744
Total;18 Ceuta;Mujeres;1999;36.589
Total;18 Ceuta;Mujeres;1998;36.015
Total;18 Ceuta;Mujeres;1997;""
Total;18 Ceuta;Mujeres;1996;34.567
Total;19 Melilla;Total;2021;86.261
Total;19 Melilla;Total;2020;87.076
Total;19 Melilla;Total;2019;86.487
Total;19 Melilla;Total;2018;86.384
Total;19 Melilla;Total;2017;86.120
Total;19 Melilla;Total;2016;86.026
Total;19 Melilla;Total;2015;85.584
Total;19 Melilla;Total;2014;84.509
Total;19 Melilla;Total;2013;83.679
Total;19 Melilla;Total;2012;80.802
Total;19 Melilla;Total;2011;78.476
Total;19 Melilla;Total;2010;76.034
Total;19 Melilla;Total;2009;73.460
Total;19 Melilla;Total;2008;71.448
Total;19 Melilla;Total;2007;69.440
Total;19 Melilla;Total;2006;66.871
Total;19 Melilla;Total;2005;65.488
Total;19 Melilla;Total;2004;68.016
Total;19 Melilla;Total;2003;68.463
Total;19 Melilla;Total;2002;69.184
Total;19 Melilla;Total;2001;68.789
Total;19 Melilla;Total;2000;66.263
Total;19 Melilla;Total;1999;56.929
Total;19 Melilla;Total;1998;60.108
Total;19 Melilla;Total;1997;""
Total;19 Melilla;Total;1996;59.576
Total;19 Melilla;Hombres;2021;43.603
Total;19 Melilla;Hombres;2020;44.162
Total;19 Melilla;Hombres;2019;43.894
Total;19 Melilla;Hombres;2018;43.765
Total;19 Melilla;Hombres;2017;43.629
Total;19 Melilla;Hombres;2016;43.768
Total;19 Melilla;Hombres;2015;43.593
Total;19 Melilla;Hombres;2014;43.075
Total;19 Melilla;Hombres;2013;43.017
Total;19 Melilla;Hombres;2012;41.569
Total;19 Melilla;Hombres;2011;40.256
Total;19 Melilla;Hombres;2010;38.819
Total;19 Melilla;Hombres;2009;37.244
Total;19 Melilla;Hombres;2008;36.336
Total;19 Melilla;Hombres;2007;35.208
Total;19 Melilla;Hombres;2006;33.962
Total;19 Melilla;Hombres;2005;33.322
Total;19 Melilla;Hombres;2004;34.455
Total;19 Melilla;Hombres;2003;34.737
Total;19 Melilla;Hombres;2002;35.178
Total;19 Melilla;Hombres;2001;35.027
Total;19 Melilla;Hombres;2000;33.976
Total;19 Melilla;Hombres;1999;28.952
Total;19 Melilla;Hombres;1998;30.569
Total;19 Melilla;Hombres;1997;""
Total;19 Melilla;Hombres;1996;29.647
Total;19 Melilla;Mujeres;2021;42.658
Total;19 Melilla;Mujeres;2020;42.914
Total;19 Melilla;Mujeres;2019;42.593
Total;19 Melilla;Mujeres;2018;42.619
Total;19 Melilla;Mujeres;2017;42.491
Total;19 Melilla;Mujeres;2016;42.258
Total;19 Melilla;Mujeres;2015;41.991
Total;19 Melilla;Mujeres;2014;41.434
Total;19 Melilla;Mujeres;2013;40.662
Total;19 Melilla;Mujeres;2012;39.233
Total;19 Melilla;Mujeres;2011;38.220
Total;19 Melilla;Mujeres;2010;37.215
Total;19 Melilla;Mujeres;2009;36.216
Total;19 Melilla;Mujeres;2008;35.112
Total;19 Melilla;Mujeres;2007;34.232
Total;19 Melilla;Mujeres;2006;32.909
Total;19 Melilla;Mujeres;2005;32.166
Total;19 Melilla;Mujeres;2004;33.561
Total;19 Melilla;Mujeres;2003;33.726
Total;19 Melilla;Mujeres;2002;34.006
Total;19 Melilla;Mujeres;2001;33.762
Total;19 Melilla;Mujeres;2000;32.287
Total;19 Melilla;Mujeres;1999;27.977
Total;19 Melilla;Mujeres;1998;29.539
Total;19 Melilla;Mujeres;1997;""
Total;19 Melilla;Mujeres;1996;29.929
