Nacional;Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Total;03 Asturias, Principado de;Hombres;2016;497.852
Total;03 Asturias, Principado de;Hombres;2015;502.175
Total;03 Asturias, Principado de;Hombres;2014;507.927
Total;03 Asturias, Principado de;Hombres;2013;511.346
Total;03 Asturias, Principado de;Hombres;2012;516.420
Total;03 Asturias, Principado de;Hombres;2011;518.571
Total;03 Asturias, Principado de;Hombres;2010;520.402
Total;03 Asturias, Principado de;Hombres;2009;520.916
Total;03 Asturias, Principado de;Hombres;2008;518.291
Total;03 Asturias, Principado de;Hombres;2007;515.292
Total;03 Asturias, Principado de;Hombres;2006;516.347
Total;03 Asturias, Principado de;Hombres;2005;516.329
Total;03 Asturias, Principado de;Hombres;2004;515.047
Total;03 Asturias, Principado de;Hombres;2003;515.945
Total;03 Asturias, Principado de;Hombres;2002;515.166
Total;03 Asturias, Principado de;Hombres;2001;515.897
Total;03 Asturias, Principado de;Hombres;2000;516.398
Total;03 Asturias, Principado de;Hombres;1999;520.012
Total;03 Asturias, Principado de;Hombres;1998;519.530
Total;03 Asturias, Principado de;Hombres;1997;""
Total;03 Asturias, Principado de;Hombres;1996;522.981
Total;03 Asturias, Principado de;Mujeres;2021;529.127
Total;03 Asturias, Principado de;Mujeres;2020;532.718
Total;03 Asturias, Principado de;Mujeres;2019;534.663
Total;03 Asturias, Principado de;Mujeres;2018;537.506
Total;03 Asturias, Principado de;Mujeres;2017;541.049
Total;03 Asturias, Principado de;Mujeres;2016;544.756
Total;03 Asturias, Principado de;Mujeres;2015;549.054
Total;03 Asturias, Principado de;Mujeres;2014;553.829
Total;03 Asturias, Principado de;Mujeres;2013;556.819
Total;03 Asturias, Principado de;Mujeres;2012;560.940
Total;03 Asturias, Principado de;Mujeres;2011;562.916
Total;03 Asturias, Principado de;Mujeres;2010;563.939
Total;03 Asturias, Principado de;Mujeres;2009;564.373
Total;03 Asturias, Principado de;Mujeres;2008;561.847
Total;03 Asturias, Principado de;Mujeres;2007;559.570
Total;03 Asturias, Principado de;Mujeres;2006;560.549
Total;03 Asturias, Principado de;Mujeres;2005;560.306
Total;03 Asturias, Principado de;Mujeres;2004;558.714
Total;03 Asturias, Principado de;Mujeres;2003;559.436
Total;03 Asturias, Principado de;Mujeres;2002;558.805
Total;03 Asturias, Principado de;Mujeres;2001;559.432
Total;03 Asturias, Principado de;Mujeres;2000;560.169
Total;03 Asturias, Principado de;Mujeres;1999;564.302
Total;03 Asturias, Principado de;Mujeres;1998;562.304
Total;03 Asturias, Principado de;Mujeres;1997;""
Total;03 Asturias, Principado de;Mujeres;1996;564.904
Total;04 Balears, Illes;Total;2021;1.173.008
Total;04 Balears, Illes;Total;2020;1.171.543
Total;04 Balears, Illes;Total;2019;1.149.460
Total;04 Balears, Illes;Total;2018;1.128.908
Total;04 Balears, Illes;Total;2017;1.115.999
Total;04 Balears, Illes;Total;2016;1.107.220
Total;04 Balears, Illes;Total;2015;1.104.479
Total;04 Balears, Illes;Total;2014;1.103.442
Total;04 Balears, Illes;Total;2013;1.111.674
Total;04 Balears, Illes;Total;2012;1.119.439
Total;04 Balears, Illes;Total;2011;1.113.114
Total;04 Balears, Illes;Total;2010;1.106.049
Total;04 Balears, Illes;Total;2009;1.095.426
Total;04 Balears, Illes;Total;2008;1.072.844
Total;04 Balears, Illes;Total;2007;1.030.650
Total;04 Balears, Illes;Total;2006;1.001.062
Total;04 Balears, Illes;Total;2005;983.131
Total;04 Balears, Illes;Total;2004;955.045
Total;04 Balears, Illes;Total;2003;947.361
Total;04 Balears, Illes;Total;2002;916.968
Total;04 Balears, Illes;Total;2001;878.627
Total;04 Balears, Illes;Total;2000;845.630
Total;04 Balears, Illes;Total;1999;821.820
Total;04 Balears, Illes;Total;1998;796.483
Total;04 Balears, Illes;Total;1997;""
Total;04 Balears, Illes;Total;1996;760.379
Total;04 Balears, Illes;Hombres;2021;584.853
Total;04 Balears, Illes;Hombres;2020;584.298
Total;04 Balears, Illes;Hombres;2019;572.757
Total;04 Balears, Illes;Hombres;2018;561.803
Total;04 Balears, Illes;Hombres;2017;554.925
Total;04 Balears, Illes;Hombres;2016;550.682
Total;04 Balears, Illes;Hombres;2015;549.678
Total;04 Balears, Illes;Hombres;2014;549.801
Total;04 Balears, Illes;Hombres;2013;554.603
Total;04 Balears, Illes;Hombres;2012;560.091
Total;04 Balears, Illes;Hombres;2011;557.577
Total;04 Balears, Illes;Hombres;2010;555.204
Total;04 Balears, Illes;Hombres;2009;551.079
Total;04 Balears, Illes;Hombres;2008;540.395
Total;04 Balears, Illes;Hombres;2007;517.593
Total;04 Balears, Illes;Hombres;2006;501.899
Total;04 Balears, Illes;Hombres;2005;492.642
Total;04 Balears, Illes;Hombres;2004;478.046
Total;04 Balears, Illes;Hombres;2003;474.248
Total;04 Balears, Illes;Hombres;2002;458.349
Total;04 Balears, Illes;Hombres;2001;437.340
Total;04 Balears, Illes;Hombres;2000;419.095
Total;04 Balears, Illes;Hombres;1999;406.358
Total;04 Balears, Illes;Hombres;1998;392.835
Total;04 Balears, Illes;Hombres;1997;""
Total;04 Balears, Illes;Hombres;1996;373.891
Total;04 Balears, Illes;Mujeres;2021;588.155
Total;04 Balears, Illes;Mujeres;2020;587.245
Total;04 Balears, Illes;Mujeres;2019;576.703
